Sales,COGS,Country,Date,Discount Band, Discounts,Gross Sales,Manufacturing Price,Month Name,Month Number,Product,Profit,Sale Price,Segment,Units Sold,Year
29156.16,8283,Canada,01/09/2013,High,3975.84,33132,260,September,9,Amarilla,20873.16,12,Channel Partners,2761,2013
265760,289920,Canada,01/09/2013,High,36240,302000,3,September,9,Carretera,-24160,125,Enterprise,2416,2013
31863,24700,Canada,01/09/2013,High,5187,37050,10,September,9,Paseo,7163,15,Midmarket,2470,2013
191884,161980,Canada,01/09/2013,High,26166,218050,250,September,9,VTT,29904,350,Government,623,2013
50803.2,26460,Canada,01/09/2013,Low,2116.8,52920,120,September,9,Velo,24343.2,20,Government,2646,2013
354108,320750,Canada,01/09/2013,Medium,30792,384900,5,September,9,Montana,33358,300,Small Business,1283,2013
15620.85,11745,Canada,01/09/2013,Medium,822.15,16443,10,September,9,Paseo,3875.85,7,Government,2349,2013
22484.7,17430,Canada,01/10/2013,High,3660.3,26145,260,October,10,Amarilla,5054.7,15,Midmarket,1743,2013
22484.7,17430,Canada,01/10/2013,High,3660.3,26145,10,October,10,Paseo,5054.7,15,Midmarket,1743,2013
69402,67250,Canada,01/10/2013,High,11298,80700,120,October,10,Velo,2152,300,Small Business,269,2013
69402,67250,Canada,01/10/2013,High,11298,80700,250,October,10,VTT,2152,300,Small Business,269,2013
19158.72,14255,Canada,01/10/2013,Low,798.28,19957,3,October,10,Carretera,4903.72,7,Government,2851,2013
19158.72,14255,Canada,01/10/2013,Low,798.28,19957,5,October,10,Montana,4903.72,7,Government,2851,2013
408310,319280,Canada,01/10/2013,Medium,21490,429800,260,October,10,Amarilla,89030,350,Government,1228,2013
25932.72,6897,Canada,01/10/2013,Medium,1655.28,27588,3,October,10,Carretera,19035.72,12,Channel Partners,2299,2013
25932.72,6897,Canada,01/10/2013,Medium,1655.28,27588,10,October,10,Paseo,19035.72,12,Channel Partners,2299,2013
434701,333170,Canada,01/10/2013,Medium,22879,457580,20,October,20,Paseo,101531,370,Government,2617,4026
26391,13890,Canada,01/10/2013,Medium,1389,27780,250,October,10,VTT,12501,20,Government,1389,2013
43125,41400,Canada,01/10/2013,None,0,43125,5,October,10,Montana,1725,125,Enterprise,345,2013
43125,41400,Canada,01/10/2013,None,0,43125,120,October,10,Velo,1725,125,Enterprise,345,2013
20826,15600,Canada,01/11/2013,High,2574,23400,3,November,11,Carretera,5226,15,Midmarket,1560,2013
22931.04,6666,Canada,01/11/2013,High,3732.96,26664,10,November,11,Paseo,16265.04,12,Channel Partners,2222,2013
313862.5,354480,Canada,01/11/2013,High,55387.5,369250,250,November,11,VTT,-40617.5,125,Enterprise,2954,2013
52243,29350,Canada,01/11/2013,High,6457,58700,250,November,11,VTT,22893,20,Government,2935,2013
14497.56,10460,Canada,01/11/2013,Low,146.44,14644,120,November,11,Velo,4037.56,7,Government,2092,2013
391716,351000,Canada,01/11/2013,Medium,29484,421200,10,November,11,Paseo,40716,300,Small Business,1404,2013
603750,448500,Canada,01/11/2013,None,0,603750,10,November,11,Paseo,155250,350,Government,1725,2013
215550,229920,Canada,01/12/2013,High,23950,239500,120,December,12,Velo,-14370,125,Enterprise,1916,2013
597408,462280,Canada,01/12/2013,Low,24892,622300,260,December,12,Amarilla,135128,350,Government,1778,2013
10569.12,2724,Canada,01/12/2013,Low,326.88,10896,3,December,12,Carretera,7845.12,12,Channel Partners,908,2013
10262.07,8055,Canada,01/12/2013,Medium,1014.93,11277,5,December,12,Montana,2207.07,7,Government,1611,2013
34238,18020,Canada,01/12/2013,Medium,1802,36040,10,December,12,Paseo,16218,20,Government,1802,2013
686952,609000,Canada,01/12/2013,Medium,43848,730800,250,December,12,VTT,77952,300,Small Business,2436,2013
32280,21520,Canada,01/12/2013,None,0,32280,10,December,12,Paseo,10760,15,Midmarket,2152,2013
180416.25,199080,Canada,01/01/2014,High,26958.75,207375,260,January,1,Amarilla,-18663.75,125,Enterprise,1659,2014
670477.5,579150,Canada,01/01/2014,High,109147.5,779625,5,January,1,Montana,91327.5,350,Government,2227.5,2014
233091,218250,Canada,01/01/2014,High,28809,261900,10,January,1,Paseo,14841,300,Small Business,873,2014
5126.4,3840,Canada,01/01/2014,High,633.6,5760,120,January,1,Velo,1286.4,15,Midmarket,384,2014
28566.72,21255,Canada,01/01/2014,Low,1190.28,29757,10,January,1,Paseo,7311.72,7,Government,4251,2014
36208.62,9733.5,Canada,01/01/2014,Medium,2725.38,38934,250,January,1,VTT,26475.12,12,Channel Partners,3244.5,2014
32370,16185,Canada,01/01/2014,None,0,32370,3,January,1,Carretera,16185,20,Government,1618.5,2014
705600,582400,Canada,01/02/2014,High,78400,784000,260,February,2,Amarilla,123200,350,Government,2240,2014
20687.16,5811,Canada,01/02/2014,High,2556.84,23244,3,February,2,Carretera,14876.16,12,Channel Partners,1937,2014
34736.1,23630,Canada,01/02/2014,Low,708.9,35445,10,February,2,Paseo,11106.1,15,Midmarket,2363,2014
3142.72,2440,Canada,01/02/2014,Medium,273.28,3416,5,February,2,Montana,702.72,7,Government,488,2014
111860,114240,Canada,01/02/2014,Medium,7140,119000,120,February,2,Velo,-2380,125,Enterprise,952,2014
5840,2920,Canada,01/02/2014,None,0,5840,10,February,2,Paseo,2920,20,Government,292,2014
600300,500250,Canada,01/02/2014,None,0,600300,250,February,2,VTT,100050,300,Small Business,2001,2014
229104,222000,Canada,01/03/2014,High,37296,266400,260,March,3,Amarilla,7104,300,Small Business,888,2014
281053.5,239980,Canada,01/03/2014,High,41996.5,323050,3,March,3,Carretera,41073.5,350,Government,923,2014
41761.6,24280,Canada,01/03/2014,High,6798.4,48560,10,March,3,Paseo,17481.6,20,Government,2428,2014
28324.8,19670,Canada,01/03/2014,Low,1180.2,29505,5,March,3,Montana,8654.8,15,Midmarket,1967,2014
215097.5,212880,Canada,01/03/2014,Low,6652.5,221750,10,March,3,Paseo,2217.5,125,Enterprise,1774,2014
9189.18,6630,Canada,01/03/2014,Low,92.82,9282,250,March,3,VTT,2559.18,7,Government,1326,2014
6601.92,1794,Canada,01/03/2014,Medium,574.08,7176,120,March,3,Velo,4807.92,12,Channel Partners,598,2014
38021.4,10561.5,Canada,01/04/2014,High,4224.6,42246,260,April,4,Amarilla,27459.9,12,Channel Partners,3520.5,2014
4301.85,3615,Canada,01/04/2014,High,759.15,5061,10,April,4,Paseo,686.85,7,Government,723,2014
20578.5,16140,Canada,01/04/2014,High,3631.5,24210,10,April,4,Paseo,4438.5,15,Midmarket,1614,2014
90956.25,89100,Canada,01/04/2014,Low,1856.25,92812.5,3,April,4,Carretera,1856.25,125,Enterprise,742.5,2014
74699.7,38505,Canada,01/04/2014,Low,2310.3,77010,120,April,4,Velo,36194.7,20,Government,3850.5,2014
326922.75,245310,Canada,01/04/2014,Low,3302.25,330225,250,April,4,VTT,81612.75,350,Government,943.5,2014
1038082.5,950625,Canada,01/04/2014,Medium,102667.5,1140750,5,April,4,Montana,87457.5,300,Small Business,3802.5,2014
60200,52000,Canada,01/05/2014,High,9800,70000,5,May,5,Montana,8200,350,Government,200,2014
22271.04,6327,Canada,01/05/2014,High,3036.96,25308,250,May,5,VTT,15944.04,12,Channel Partners,2109,2014
16121.4,8310,Canada,01/05/2014,Low,498.6,16620,3,May,5,Carretera,7811.4,20,Government,831,2014
191231.25,197400,Canada,01/05/2014,Medium,14393.75,205625,260,May,5,Amarilla,-6168.75,125,Enterprise,1645,2014
1655.08,1285,Canada,01/05/2014,Medium,143.92,1799,10,May,5,Paseo,370.08,7,Government,257,2014
474858,425500,Canada,01/05/2014,Medium,35742,510600,10,May,5,Paseo,49358,300,Small Business,1702,2014
17604.9,12620,Canada,01/05/2014,Medium,1325.1,18930,120,May,5,Velo,4984.9,15,Midmarket,1262,2014
172151.25,189960,Canada,01/06/2014,High,25723.75,197875,10,June,6,Paseo,-17808.75,125,Enterprise,1583,2014
801444,684320,Canada,01/06/2014,High,119756,921200,10,June,6,Paseo,117124,350,Government,2632,2014
801444,684320,Canada,01/06/2014,High,119756,921200,120,June,6,Velo,117124,350,Government,2632,2014
172151.25,189960,Canada,01/06/2014,High,25723.75,197875,250,June,6,VTT,-17808.75,125,Enterprise,1583,2014
20416.05,12755,Canada,01/06/2014,Medium,1688.95,22105,520,June,12,Amarilla,7661.05,27,Government,1843,4028
40100.4,28440,Canada,01/06/2014,Medium,2559.6,42660,3,June,6,Carretera,11660.4,15,Midmarket,2844,2014
298662,273500,Canada,01/06/2014,Medium,29538,328200,3,June,6,Carretera,25162,300,Small Business,1094,2014
13027.2,7080,Canada,01/06/2014,Medium,1132.8,14160,5,June,6,Montana,5947.2,20,Government,708,2014
298662,273500,Canada,01/06/2014,Medium,29538,328200,10,June,6,Paseo,25162,300,Small Business,1094,2014
7388.85,5675,Canada,01/06/2014,Medium,556.15,7945,120,June,6,Velo,1713.85,7,Government,1135,2014
40100.4,28440,Canada,01/06/2014,Medium,2559.6,42660,250,June,6,VTT,11660.4,15,Midmarket,2844,2014
30216,7554,Canada,01/06/2014,None,0,30216,5,June,6,Montana,22662,12,Channel Partners,2518,2014
30216,7554,Canada,01/06/2014,None,0,30216,10,June,6,Paseo,22662,12,Channel Partners,2518,2014
42997.68,12078,Canada,01/07/2014,High,5314.32,48312,10,July,7,Paseo,30919.68,12,Channel Partners,4026,2014
655551.75,547170,Canada,01/07/2014,High,81023.25,736575,10,July,7,Paseo,108381.75,350,Government,2104.5,2014
14713.5,8655,Canada,01/07/2014,High,2596.5,17310,250,July,7,VTT,6058.5,20,Government,865.5,2014
22256.325,16305,Canada,01/07/2014,Medium,2201.175,24457.5,260,July,7,Amarilla,5951.325,15,Midmarket,1630.5,2014
5217.03,4095,Canada,01/07/2014,Medium,515.97,5733,3,July,7,Carretera,1122.03,7,Government,819,2014
1035625.5,948375,Canada,01/07/2014,Medium,102424.5,1138050,120,July,7,Velo,87250.5,300,Small Business,3793.5,2014
333187.5,319860,Canada,01/07/2014,None,0,333187.5,5,July,7,Montana,13327.5,125,Enterprise,2665.5,2014
42613.2,23940,Canada,01/08/2014,High,5266.8,47880,10,August,8,Paseo,18673.2,20,Government,2394,2014
32627.25,25590,Canada,01/08/2014,High,5757.75,38385,10,August,8,Paseo,7037.25,15,Midmarket,2559,2014
12681.9,9150,Canada,01/08/2014,Low,128.1,12810,5,August,8,Montana,3531.9,7,Government,1830,2014
114221.25,110760,Canada,01/08/2014,Low,1153.75,115375,120,August,8,Velo,3461.25,125,Enterprise,923,2014
545334,468500,Canada,01/08/2014,Low,16866,562200,250,August,8,VTT,76834,300,Small Business,1874,2014
183540,143520,Canada,01/08/2014,Medium,9660,193200,260,August,8,Amarilla,40020,350,Government,552,2014
21025.44,5652,Canada,01/08/2014,Medium,1582.56,22608,3,August,8,Carretera,15373.44,12,Channel Partners,1884,2014
222705,183820,Canada,01/09/2014,High,24745,247450,260,September,9,Amarilla,38885,350,Government,707,2014
2335.76,1940,Canada,01/09/2014,High,380.24,2716,5,September,9,Montana,395.76,7,Government,388,2014
17166.6,4335,Canada,01/09/2014,Low,173.4,17340,3,September,9,Carretera,12831.6,12,Channel Partners,1445,2014
39820.8,20740,Canada,01/09/2014,Low,1659.2,41480,10,September,9,Paseo,19080.8,20,Government,2074,2014
3139.2,2180,Canada,01/09/2014,Low,130.8,3270,10,September,9,Paseo,959.2,15,Midmarket,218,2014
64496.25,68040,Canada,01/09/2014,Medium,6378.75,70875,120,September,9,Velo,-3543.75,125,Enterprise,567,2014
588984,533500,Canada,01/09/2014,Medium,51216,640200,250,September,9,VTT,55484,300,Small Business,2134,2014
16841.44,13670,Canada,01/10/2014,High,2296.56,19138,260,October,10,Amarilla,3171.44,7,Government,2734,2014
385968,374000,Canada,01/10/2014,High,62832,448800,3,October,10,Carretera,11968,300,Small Business,1496,2014
38574.04,26160,Canada,01/10/2014,High,5543.96,44118,10,October,20,Montana,12414.04,27,Government,3983,4028
21732.6,12490,Canada,01/10/2014,High,3247.4,24980,10,October,10,Paseo,9242.6,20,Government,1249,2014
20423.25,15650,Canada,01/10/2014,High,3051.75,23475,10,October,10,Paseo,4773.25,15,Midmarket,1565,2014
20423.25,15650,Canada,01/10/2014,High,3051.75,23475,250,October,10,VTT,4773.25,15,Midmarket,1565,2014
385968,374000,Canada,01/10/2014,High,62832,448800,250,October,10,VTT,11968,300,Small Business,1496,2014
15229.2,3885,Canada,01/10/2014,Low,310.8,15540,3,October,10,Carretera,11344.2,12,Channel Partners,1295,2014
15229.2,3885,Canada,01/10/2014,Low,310.8,15540,10,October,10,Paseo,11344.2,12,Channel Partners,1295,2014
243591.25,241080,Canada,01/10/2014,Low,7533.75,251125,10,October,10,Paseo,2511.25,125,Enterprise,2009,2014
243591.25,241080,Canada,01/10/2014,Low,7533.75,251125,120,October,10,Velo,2511.25,125,Enterprise,2009,2014
404176.5,329940,Canada,01/10/2014,Medium,39973.5,444150,260,October,10,Amarilla,74236.5,350,Government,1269,2014
404176.5,329940,Canada,01/10/2014,Medium,39973.5,444150,120,October,10,Velo,74236.5,350,Government,1269,2014
35494.8,26890,Canada,01/11/2014,High,4840.2,40335,3,November,11,Carretera,8604.8,15,Midmarket,2689,2014
210700,182000,Canada,01/11/2014,High,34300,245000,10,November,11,Paseo,28700,350,Government,700,2014
364722,341500,Canada,01/11/2014,High,45078,409800,10,November,11,Paseo,23222,300,Small Business,1366,2014
11263.84,9040,Canada,01/11/2014,High,1392.16,12656,120,November,11,Velo,2223.84,7,Government,1808,2014
284512.5,303480,Canada,01/11/2014,High,31612.5,316125,250,November,11,VTT,-18967.5,125,Enterprise,2529,2014
20794.8,11180,Canada,01/11/2014,Medium,1565.2,22360,260,November,11,Amarilla,9614.8,20,Government,1118,2014
25345.32,6963,Canada,01/11/2014,Medium,2506.68,27852,5,November,11,Montana,18382.32,12,Channel Partners,2321,2014
29670,23000,Canada,01/12/2014,High,4830,34500,3,December,12,Carretera,6670,15,Midmarket,2300,2014
29670,23000,Canada,01/12/2014,High,4830,34500,5,December,12,Montana,6670,15,Midmarket,2300,2014
563304,479000,Canada,01/12/2014,Low,11496,574800,260,December,12,Amarilla,84304,300,Small Business,1916,2014
978236,741520,Canada,01/12/2014,Low,19964,998200,3,December,12,Carretera,236716,350,Government,2852,2014
334302.5,327480,Canada,01/12/2014,Low,6822.5,341125,10,December,12,Paseo,6822.5,125,Enterprise,2729,2014
978236,741520,Canada,01/12/2014,Low,19964,998200,10,December,12,Paseo,236716,350,Government,2852,2014
563304,479000,Canada,01/12/2014,Low,11496,574800,10,December,12,Paseo,84304,300,Small Business,1916,2014
334302.5,327480,Canada,01/12/2014,Low,6822.5,341125,250,December,12,VTT,6822.5,125,Enterprise,2729,2014
27713.4,7293,Canada,01/12/2014,Medium,1458.6,29172,10,December,12,Paseo,20420.4,12,Channel Partners,2431,2014
27713.4,7293,Canada,01/12/2014,Medium,1458.6,29172,120,December,12,Velo,20420.4,12,Channel Partners,2431,2014
10298.82,7910,Canada,01/12/2014,Medium,775.18,11074,120,December,12,Velo,2388.82,7,Government,1582,2014
10298.82,7910,Canada,01/12/2014,Medium,775.18,11074,250,December,12,VTT,2388.82,7,Government,1582,2014
36340,18170,Canada,01/12/2014,None,0,36340,10,December,12,Paseo,18170,20,Government,1817,2014
36340,18170,Canada,01/12/2014,None,0,36340,250,December,12,VTT,18170,20,Government,1817,2014
109972.5,122760,France,01/09/2013,High,17902.5,127875,3,September,9,Carretera,-12787.5,125,Enterprise,1023,2013
49929,28050,France,01/09/2013,High,6171,56100,120,September,9,Velo,21879,20,Government,2805,2013
87906,80500,France,01/09/2013,Medium,8694,96600,5,September,9,Montana,7406,300,Small Business,322,2013
6711.81,5155,France,01/09/2013,Medium,505.19,7217,10,September,9,Paseo,1556.81,7,Government,1031,2013
24395.28,6702,France,01/09/2013,Medium,2412.72,26808,250,September,9,VTT,17693.28,12,Channel Partners,2234,2013
8235,5490,France,01/09/2013,None,0,8235,10,September,9,Paseo,2745,15,Midmarket,549,2013
534450,397020,France,01/09/2013,None,0,534450,250,September,9,VTT,137430,350,Government,1527,2013
12794.64,3594,France,01/10/2013,High,1581.36,14376,3,October,10,Carretera,9200.64,12,Channel Partners,1198,2013
12794.64,3594,France,01/10/2013,High,1581.36,14376,10,October,10,Paseo,9200.64,12,Channel Partners,1198,2013
29254.5,21670,France,01/10/2013,High,3250.5,32505,10,October,10,Paseo,7584.5,15,Midmarket,2167,2013
29254.5,21670,France,01/10/2013,High,3250.5,32505,250,October,10,VTT,7584.5,15,Midmarket,2167,2013
692235.74,546775,France,01/10/2013,Medium,44185.26,736421,520,October,20,Amarilla,145460.74,357,Government,3479,4026
42263.34,24585,France,01/10/2013,Medium,2697.66,44961,10,October,20,Montana,17678.34,27,Government,3160,4026
83600,84480,France,01/10/2013,Medium,4400,88000,10,October,10,Paseo,-880,125,Enterprise,704,2013
33031.6,17570,France,01/10/2013,Medium,2108.4,35140,10,October,10,Paseo,15461.6,20,Government,1757,2013
83600,84480,France,01/10/2013,Medium,4400,88000,120,October,10,Velo,-880,125,Enterprise,704,2013
683004,539760,France,01/10/2013,Medium,43596,726600,120,October,10,Velo,143244,350,Government,2076,2013
344322,305250,France,01/10/2013,Medium,21978,366300,120,October,10,Velo,39072,300,Small Business,1221,2013
344322,305250,France,01/10/2013,Medium,21978,366300,250,October,10,VTT,39072,300,Small Business,1221,2013
578522,499720,France,01/11/2013,High,94178,672700,10,November,11,Paseo,78802,350,Government,1922,2013
4766.85,3210,France,01/11/2013,Low,48.15,4815,260,November,11,Amarilla,1556.85,15,Midmarket,321,2013
14714.7,10725,France,01/11/2013,Low,300.3,15015,3,November,11,Carretera,3989.7,7,Government,2145,2013
20991.6,5355,France,01/11/2013,Low,428.4,21420,10,November,11,Paseo,15636.6,12,Channel Partners,1785,2013
211233.75,222840,France,01/11/2013,Medium,20891.25,232125,5,November,11,Montana,-11606.25,125,Enterprise,1857,2013
106536,96500,France,01/11/2013,Medium,9264,115800,120,November,11,Velo,10036,300,Small Business,386,2013
48812.4,26820,France,01/11/2013,Medium,4827.6,53640,250,November,11,VTT,21992.4,20,Government,2682,2013
166725,177840,France,01/12/2013,High,18525,185250,3,December,12,Carretera,-11115,125,Enterprise,1482,2013
313104,296500,France,01/12/2013,High,42696,355800,5,December,12,Montana,16604,300,Small Business,1186,2013
385581,333060,France,01/12/2013,High,62769,448350,250,December,12,VTT,52521,350,Government,1281,2013
32558.4,22610,France,01/12/2013,Low,1356.6,33915,10,December,12,Paseo,9948.4,15,Midmarket,2261,2013
3341.52,918,France,01/12/2013,Medium,330.48,3672,260,December,12,Amarilla,2423.52,12,Channel Partners,306,2013
14204.4,10680,France,01/12/2013,Medium,747.6,14952,10,December,12,Paseo,3524.4,7,Government,2136,2013
19627,10330,France,01/12/2013,Medium,1033,20660,120,December,12,Velo,9297,20,Government,1033,2013
44378.4,25215,France,01/01/2014,High,6051.6,50430,3,January,1,Carretera,19163.4,20,Government,2521.5,2014
52167.375,39975,France,01/01/2014,High,7795.125,59962.5,120,January,1,Velo,12192.375,15,Midmarket,3997.5,2014
18519.12,5202,France,01/01/2014,High,2288.88,20808,250,January,1,VTT,13317.12,12,Channel Partners,1734,2014
27338.85,19725,France,01/01/2014,Low,276.15,27615,10,January,1,Paseo,7613.85,7,Government,3945,2014
708439.5,608625,France,01/01/2014,Low,21910.5,730350,10,January,1,Paseo,99814.5,300,Small Business,2434.5,2014
233531.25,238500,France,01/01/2014,Medium,14906.25,248437.5,260,January,1,Amarilla,-4968.75,125,Enterprise,1987.5,2014
460346.25,359970,France,01/01/2014,Medium,24228.75,484575,5,January,1,Montana,100376.25,350,Government,1384.5,2014
1763.86,1465,France,01/02/2014,High,287.14,2051,5,February,2,Montana,298.86,7,Government,293,2014
34095.6,22960,France,01/02/2014,Low,344.4,34440,10,February,2,Paseo,11135.6,15,Midmarket,2296,2014
21261,5595,France,01/02/2014,Medium,1119,22380,3,February,2,Carretera,15666,12,Channel Partners,1865,2014
24757,13030,France,01/02/2014,Medium,1303,26060,10,February,2,Paseo,11727,20,Government,1303,2014
267561,239750,France,01/02/2014,Medium,20139,287700,250,February,2,VTT,27811,300,Small Business,959,2014
962500,715000,France,01/02/2014,None,0,962500,260,February,2,Amarilla,247500,350,Government,2750,2014
225500,216480,France,01/02/2014,None,0,225500,120,February,2,Velo,9020,125,Enterprise,1804,2014
631125,618750,France,01/03/2014,High,111375,742500,260,March,3,Amarilla,12375,300,Small Business,2475,2014
545055,465400,France,01/03/2014,High,81445,626500,3,March,3,Carretera,79655,350,Government,1790,2014
35172,19540,France,01/03/2014,High,3908,39080,10,March,3,Paseo,15632,20,Government,1954,2014
9184.56,7455,France,01/03/2014,High,1252.44,10437,250,March,3,VTT,1729.56,7,Government,1491,2014
34513.8,25010,France,01/03/2014,Medium,3001.2,37515,5,March,3,Montana,9503.8,15,Midmarket,2501,2014
283218.75,286200,France,01/03/2014,Medium,14906.25,298125,10,March,3,Paseo,-2981.25,125,Enterprise,2385,2014
21479.64,5901,France,01/03/2014,Medium,2124.36,23604,120,March,3,Velo,15578.64,12,Channel Partners,1967,2014
468072,443250,France,01/04/2014,High,63828,531900,5,April,4,Montana,24822,300,Small Business,1773,2014
15774.36,12660,France,01/04/2014,High,1949.64,17724,10,April,4,Paseo,3114.36,7,Government,2532,2014
514524.375,509220,France,01/04/2014,Low,15913.125,530437.5,3,April,4,Carretera,5304.375,125,Enterprise,4243.5,2014
76507.2,38640,France,01/04/2014,Low,772.8,77280,120,April,4,Velo,37867.2,20,Government,3864,2014
53594.1,38010,France,01/04/2014,Medium,3420.9,57015,10,April,4,Paseo,15584.1,15,Midmarket,3801,2014
19401.66,5215.5,France,01/04/2014,Medium,1460.34,20862,250,April,4,VTT,14186.16,12,Channel Partners,1738.5,2014
184989,149370,France,01/04/2014,Medium,16086,201075,250,April,4,VTT,35619,350,Government,574.5,2014
159421.25,171960,France,01/05/2014,High,19703.75,179125,260,May,5,Amarilla,-12538.75,125,Enterprise,1433,2014
36031.5,28260,France,01/05/2014,High,6358.5,42390,120,May,5,Velo,7771.5,15,Midmarket,2826,2014
7137.9,5150,France,01/05/2014,Low,72.1,7210,10,May,5,Paseo,1987.9,7,Government,1030,2014
269892,229500,France,01/05/2014,Low,5508,275400,10,May,5,Paseo,40392,300,Small Business,918,2014
9976.32,2598,France,01/05/2014,Low,415.68,10392,250,May,5,VTT,7378.32,12,Channel Partners,866,2014
29697,15630,France,01/05/2014,Medium,1563,31260,3,May,5,Carretera,14067,20,Government,1563,2014
530621,433160,France,01/05/2014,Medium,52479,583100,5,May,5,Montana,97461,350,Government,1666,2014
7247.1,5950,France,01/06/2014,High,1082.9,8330,260,June,6,Amarilla,1297.1,7,Government,1190,2014
7247.1,5950,France,01/06/2014,High,1082.9,8330,120,June,6,Velo,1297.1,7,Government,1190,2014
22127.64,5703,France,01/06/2014,Low,684.36,22812,5,June,6,Montana,16424.64,12,Channel Partners,1901,2014
22127.64,5703,France,01/06/2014,Low,684.36,22812,10,June,6,Paseo,16424.64,12,Channel Partners,1901,2014
97391.25,94440,France,01/06/2014,Low,983.75,98375,10,June,6,Paseo,2951.25,125,Enterprise,787,2014
97391.25,94440,France,01/06/2014,Low,983.75,98375,250,June,6,VTT,2951.25,125,Enterprise,787,2014
124992,112000,France,01/06/2014,Medium,9408,134400,3,June,6,Carretera,12992,300,Small Business,448,2014
492184,388960,France,01/06/2014,Medium,31416,523600,10,June,6,Paseo,103224,350,Government,1496,2014
124992,112000,France,01/06/2014,Medium,9408,134400,10,June,6,Paseo,12992,300,Small Business,448,2014
492184,388960,France,01/06/2014,Medium,31416,523600,120,June,6,Velo,103224,350,Government,1496,2014
37980,18990,France,01/06/2014,None,0,37980,260,June,6,Amarilla,18990,20,Government,1899,2014
32670,21780,France,01/06/2014,None,0,32670,3,June,6,Carretera,10890,15,Midmarket,2178,2014
37980,18990,France,01/06/2014,None,0,37980,5,June,6,Montana,18990,20,Government,1899,2014
32670,21780,France,01/06/2014,None,0,32670,250,June,6,VTT,10890,15,Midmarket,2178,2014
21076.44,17107.5,France,01/07/2014,High,2874.06,23950.5,260,July,7,Amarilla,3968.94,7,Government,3421.5,2014
25904.34,7276.5,France,01/07/2014,High,3201.66,29106,10,July,7,Paseo,18627.84,12,Channel Partners,2425.5,2014
201285,166140,France,01/07/2014,High,22365,223650,120,July,7,Velo,35145,350,Government,639,2014
51143.4,38745,France,01/07/2014,High,6974.1,58117.5,250,July,7,VTT,12398.4,15,Midmarket,3874.5,2014
27234.9,13755,France,01/07/2014,Low,275.1,27510,5,July,7,Montana,13479.9,20,Government,1375.5,2014
358560,358560,France,01/07/2014,Low,14940,373500,10,July,7,Paseo,0,125,Enterprise,2988,2014
462861,414750,France,01/07/2014,Medium,34839,497700,120,July,7,Velo,48111,300,Small Business,1659,2014
25542,7425,France,01/08/2014,High,4158,29700,260,August,8,Amarilla,18117,12,Channel Partners,2475,2014
124737.5,140880,France,01/08/2014,High,22012.5,146750,3,August,8,Carretera,-16142.5,125,Enterprise,1174,2014
16418.64,13480,France,01/08/2014,High,2453.36,18872,10,August,8,Paseo,2938.64,7,Government,2696,2014
431112,390500,France,01/08/2014,Medium,37488,468600,5,August,8,Montana,40612,300,Small Business,1562,2014
29308.95,21010,France,01/08/2014,Medium,2206.05,31515,10,August,8,Paseo,8298.95,15,Midmarket,2101,2014
30001,15790,France,01/08/2014,Medium,1579,31580,120,August,8,Velo,14211,20,Government,1579,2014
122682,99060,France,01/08/2014,Medium,10668,133350,250,August,8,VTT,23622,350,Government,381,2014
70443.75,79560,France,01/09/2014,High,12431.25,82875,120,September,9,Velo,-9116.25,125,Enterprise,663,2014
31731.48,8013,France,01/09/2014,Low,320.52,32052,3,September,9,Carretera,23718.48,12,Channel Partners,2671,2014
